13-04-2015	1201,3
14-04-2015	101950
14-04-2015	1189
15-04-2015	1395
15-04-2015	16,12
15-04-2015	103750
15-04-2015	1192,7
16-04-2015	1442
16-04-2015	104300
16-04-2015	1205
17-04-2015	1410
17-04-2015	17
17-04-2015	104180
17-04-2015	1203
20-04-2015	1422
20-04-2015	16
20-04-2015	103970
20-04-2015	1198
21-04-2015	1390
21-04-2015	16,15
21-04-2015	103500
21-04-2015	1197,75
22-04-2015	1390
22-04-2015	16,14
22-04-2015	104450
22-04-2015	1200,2
24-04-2015	1393
24-04-2015	16
24-04-2015	104200
24-04-2015	1187
27-04-2015	1385
27-04-2015	16
27-04-2015	103790
27-04-2015	1186
28-04-2015	1410
28-04-2015	103250
28-04-2015	1203,6
29-04-2015	1415
29-04-2015	16,56
29-04-2015	103780
29-04-2015	1207,6
30-04-2015	1428
30-04-2015	16,61
30-04-2015	102900
30-04-2015	1193
04-05-2015	14,67
04-05-2015	1435
04-05-2015	16,32
04-05-2015	1060
04-05-2015	103310
04-05-2015	1183
05-05-2015	16,4
05-05-2015	103700
05-05-2015	1197
06-05-2015	103800
06-05-2015	1194
07-05-2015	1426
07-05-2015	16
07-05-2015	102380
07-05-2015	1180,5
08-05-2015	1410
08-05-2015	17
08-05-2015	102600
08-05-2015	1185,35
11-05-2015	1434
11-05-2015	16,45
11-05-2015	103000
11-05-2015	1191
12-05-2015	102980
12-05-2015	1192,5
13-05-2015	17
13-05-2015	101880
13-05-2015	1205
14-05-2015	1456
14-05-2015	17
14-05-2015	102300
14-05-2015	1220
15-05-2015	101450
15-05-2015	1216
18-05-2015	1477
18-05-2015	18
18-05-2015	101820
18-05-2015	1225,5
18-05-2015	1465
20-05-2015	101100
20-05-2015	1209,7
21-05-2015	1410
21-05-2015	99500
21-05-2015	1206,9
22-05-2015	1435
22-05-2015	101050
22-05-2015	1213
25-05-2015	1435
25-05-2015	17,03
25-05-2015	101100
25-05-2015	1204,5
26-05-2015	1420
26-05-2015	16,9
26-05-2015	100950
26-05-2015	1192,6
27-05-2015	16,72
27-05-2015	101200
27-05-2015	1185,3
28-05-2015	1437
28-05-2015	17
28-05-2015	101450
28-05-2015	1186,8
29-05-2015	1435
29-05-2015	101450
29-05-2015	1189
01-06-2015	1446
01-06-2015	16,6
01-06-2015	101900
01-06-2015	1187,5
01-06-2015	1440
02-06-2015	16,7
02-06-2015	102650
02-06-2015	1189,2
03-06-2015	1440
03-06-2015	16,65
03-06-2015	1069
03-06-2015	102750
03-06-2015	1188,7
04-06-2015	1434
04-06-2015	16,5
04-06-2015	102200
04-06-2015	1180
05-06-2015	16,5
05-06-2015	100600
05-06-2015	1172,6
08-06-2015	1443
08-06-2015	16
08-06-2015	104000
08-06-2015	1172,7
09-06-2015	16,1
09-06-2015	104000
09-06-2015	1179,5
10-06-2015	104750
10-06-2015	1190
11-06-2015	1390
11-06-2015	15,85
11-06-2015	103500
11-06-2015	1184
12-06-2015	1390
12-06-2015	15,95
12-06-2015	102850
12-06-2015	1179
15-06-2015	1405
15-06-2015	16
15-06-2015	103650
15-06-2015	1181
16-06-2015	16,18
16-06-2015	103700
16-06-2015	1183,8
17-06-2015	16,7
17-06-2015	103600
17-06-2015	1178,5
18-06-2015	1425
18-06-2015	16,5
18-06-2015	104380
18-06-2015	1200
19-06-2015	16,1
19-06-2015	104500
19-06-2015	1203,5
22-06-2015	1401
22-06-2015	16
22-06-2015	102600
22-06-2015	1192
23-06-2015	1380
23-06-2015	16,2
23-06-2015	1054
23-06-2015	101500
23-06-2015	1183
24-06-2015	16,03
24-06-2015	101100
24-06-2015	1173,2
25-06-2015	1370
25-06-2015	16
25-06-2015	100450
25-06-2015	1173
26-06-2015	100500
26-06-2015	1173,8
29-06-2015	1383
29-06-2015	15,5
29-06-2015	102050
29-06-2015	1182
30-06-2015	1360
30-06-2015	15,5
30-06-2015	100800
30-06-2015	1171,9
01-07-2015	14,1
01-07-2015	1056
01-07-2015	100850
01-07-2015	1169
02-07-2015	1364
02-07-2015	100900
02-07-2015	1162
03-07-2015	1350
03-07-2015	15,5
03-07-2015	101300
03-07-2015	1169
06-07-2015	1357
06-07-2015	15,58
06-07-2015	100700
06-07-2015	1164,5
07-07-2015	100540
07-07-2015	1165
08-07-2015	99800
08-07-2015	1157
09-07-2015	1320
09-07-2015	15,37
09-07-2015	100200
09-07-2015	1164,9
10-07-2015	15,4
10-07-2015	99500
10-07-2015	1159
13-07-2015	1325
13-07-2015	15
13-07-2015	99050
13-07-2015	1156,5
14-07-2015	97800
14-07-2015	1156,5
15-07-2015	1305
15-07-2015	15,3
15-07-2015	98000
15-07-2015	1152,5
20-07-2015	1285
20-07-2015	15
20-07-2015	96500
20-07-2015	1112,5
21-07-2015	14,5
21-07-2015	95700
21-07-2015	1105
22-07-2015	1275
22-07-2015	14,74
22-07-2015	95250
22-07-2015	1091,5
23-07-2015	1305
23-07-2015	96650
23-07-2015	1098,85
24-07-2015	1290
24-07-2015	14
24-07-2015	95370
24-07-2015	1086
27-07-2015	1311
27-07-2015	14,7
27-07-2015	97300
27-07-2015	1095,25
28-07-2015	96700
28-07-2015	1093
29-07-2015	97260
29-07-2015	1095
30-07-2015	1314
30-07-2015	14
30-07-2015	97150
30-07-2015	1088,8
31-07-2015	1310
