2015-08-04,"2.7736","3.0421"
2015-08-05,"2.7688","3.0382"
2015-08-06,"2.7847","3.0259"
2015-08-07,"2.783","3.0331"
2015-08-10,"2.779","3.0366"
2015-08-11,"2.7859","3.0518"
2015-08-12,"2.7674","3.0505"
2015-08-13,"2.7775","3.0897"
2015-08-14,"2.783","3.094"
2015-08-17,"2.8316","3.1584"
2015-08-18,"2.8484","3.16"
2015-08-19,"2.873","3.1808"
2015-08-20,"2.9009","3.2053"
2015-08-21,"2.9677","3.3097"
2015-08-24,"2.9156","3.286"
2015-08-25,"2.9477","3.3849"
2015-08-26,"2.9258","3.3734"
2015-08-27,"2.9347","3.364"
2015-08-28,"2.9099","3.289"
2015-08-31,"2.9146","3.2876"
2015-09-01,"2.9179","3.2716"
2015-09-02,"2.9147","3.2865"
2015-09-03,"2.94","3.3132"
2015-09-04,"2.9561","3.3198"
2015-09-07,"2.9774","3.3168"
2015-09-08,"3.0285","3.3777"
2015-09-09,"3.0145","3.3682"
2015-09-10,"3.0039","3.3541"
2015-09-11,"3.0402","3.4035"
2015-09-14,"3.0341","3.4219"
2015-09-15,"3.0599","3.4684"
2015-09-16,"3.0435","3.4407"
2015-09-17,"3.0119","3.3872"
2015-09-18,"3.0143","3.4116"
2015-09-21,"2.9961","3.4248"
2015-09-22,"2.9978","3.3847"
2015-09-23,"3.0069","3.3602"
2015-09-28,"3.0069","3.3602"
2015-09-29,"3.0464","3.4057"
2015-09-30,"3.0433","3.4212"
2015-10-01,"3.0251","3.3941"
2015-10-02,"3.0174","3.3639"
2015-10-05,"3.0236","3.3756"
2015-10-06,"2.9924","3.3661"
2015-10-07,"2.9879","3.3498"
2015-10-08,"2.938","3.3049"
2015-10-09,"2.9357","3.3133"
2015-10-12,"2.896","3.2834"
2015-10-13,"2.9233","3.3254"
2015-10-14,"2.9421","3.3485"
2015-10-15,"2.9416","3.3554"
2015-10-16,"2.884","3.3011"
2015-10-19,"2.8926","3.2862"
2015-10-20,"2.8881","3.2753"
2015-10-21,"2.8954","3.2891"
2015-10-22,"2.9027","3.2973"
2015-10-23,"2.889","3.2702"
2015-10-26,"2.8667","3.1837"
2015-10-27,"2.8909","3.1894"
2015-10-28,"2.8943","3.199"
2015-10-30,"2.8943","3.199"
2015-11-02,"2.9149","3.2068"
2015-11-03,"2.8035","3.0898"
2015-11-04,"2.8285","3.1101"
2015-11-05,"2.8362","3.1"
2015-11-06,"2.8679","3.1159"
2015-11-09,"2.8724","3.1227"
2015-11-10,"2.9192","3.1445"
2015-11-11,"2.9104","3.1244"
2015-11-12,"2.8911","3.1035"
2015-11-13,"2.8768","3.0842"
2015-11-16,"2.8686","3.0895"
2015-11-17,"2.8775","3.0888"
2015-11-18,"2.8719","3.0613"
2015-11-19,"2.8648","3.056"
2015-11-20,"2.8491","3.0465"
2015-11-23,"2.8303","3.025"
2015-11-24,"2.8433","3.0217"
2015-11-25,"2.8689","3.0553"
2015-11-26,"2.8813","3.0602"
2015-11-27,"2.9009","3.0781"
2015-11-30,"2.9195","3.0938"
2015-12-01,"2.9109","3.0795"
2015-12-02,"2.8923","3.065"
2015-12-03,"2.8771","3.0517"
2015-12-04,"2.8814","3.0498"
2015-12-07,"2.8921","3.1464"
2015-12-08,"2.8897","3.1267"
2015-12-09,"2.9123","3.1628"
2015-12-10,"2.9107","3.1806"
2015-12-11,"2.9099","3.1904"
2015-12-14,"2.9456","3.2286"
2015-12-15,"2.9667","3.2521"
2015-12-16,"2.9701","3.2729"
2015-12-17,"2.9631","3.2384"
2015-12-18,"2.9311","3.1819"
2015-12-21,"2.9229","3.167"
2015-12-22,"2.9068","3.1575"
2015-12-23,"2.9248","3.1972"
2015-12-24,"2.9262","3.1969"
2015-12-25,"2.9187","3.1968"
2015-12-28,"2.9123","3.1904"
2015-12-29,"2.9157","3.2006"
2015-12-30,"2.9084","3.1921"
2015-12-31,"2.9076","3.1776"
